what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1241275944050
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1241275945211
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1241275950892
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1241276626438
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1241276628850
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1241276630071
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1241276630955
started,bundle,org.eclipse.mylyn.ide.ant,3.1.1.v20090411-0400-e3x,org.eclipse.mylyn.ide.ant,1241276631841
started,bundle,org.eclipse.mylyn.resources.ui,3.1.1.v20090411-0400-e3x,org.eclipse.mylyn.resources.ui,1241276631858
started,bundle,org.eclipse.mylyn.wikitext.tasks.ui,1.0.1.v20090411-0400-e3x,org.eclipse.mylyn.wikitext.tasks.ui,1241276631866
started,bundle,org.eclipse.mylyn.java.ui,3.1.1.v20090411-0400-e3x,org.eclipse.mylyn.java.ui,1241276631881
started,bundle,org.eclipse.mylyn.pde.ui,3.1.1.v20090411-0400-e3x,org.eclipse.mylyn.pde.ui,1241276631902
closed,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1241276632224
stopped,bundle,org.eclipse.mylyn.pde.ui,3.1.1.v20090411-0400-e3x,org.eclipse.mylyn.pde.ui,1241276633248
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.0.v20080730_r341,org.eclipse.pde.api.tools.ui,1241276633248
stopped,bundle,org.eclipse.pde.api.tools,1.0.0.v20081117_r342,org.eclipse.pde.api.tools,1241276633248
stopped,bundle,org.eclipse.mylyn.ide.ant,3.1.1.v20090411-0400-e3x,org.eclipse.mylyn.ide.ant,1241276633248
stopped,bundle,org.eclipse.mylyn.team.ui,3.1.1.v20090411-0400-e3x,org.eclipse.mylyn.team.ui,1241276633293
stopped,bundle,org.eclipse.mylyn.java.ui,3.1.1.v20090411-0400-e3x,org.eclipse.mylyn.java.ui,1241276633293
stopped,bundle,org.eclipse.mylyn.ide.ui,3.1.1.v20090411-0400-e3x,org.eclipse.mylyn.ide.ui,1241276633293
stopped,bundle,org.eclipse.mylyn.resources.ui,3.1.1.v20090411-0400-e3x,org.eclipse.mylyn.resources.ui,1241276633293
stopped,bundle,org.eclipse.mylyn.ditz.tests,1.0.0,org.eclipse.mylyn.ditz.tests,1241276633293
stopped,bundle,org.eclipse.mylyn.ditz.ui,1.0.0,org.eclipse.mylyn.ditz.ui,1241276633293
stopped,bundle,org.eclipse.mylyn.ditz.core,1.0.0,org.eclipse.mylyn.ditz.core,1241276633346
stopped,bundle,org.eclipse.mylyn.wikitext.tasks.ui,1.0.1.v20090411-0400-e3x,org.eclipse.mylyn.wikitext.tasks.ui,1241276633346
