what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.core.filesystem,1.2.0.v20080604-1400,org.eclipse.core.filesystem,1241274757665
opened,view,org.eclipse.ui.views.log,1.0.0.v20080803-1700,org.eclipse.pde.runtime.LogView,1241274757917
activated,view,org.eclipse.ui.views.log,1.0.0.v20080803-1700,org.eclipse.pde.runtime.LogView,1241274757963
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.views.showView,1241274757964
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1241274760278
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1241274783128
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1241274786086
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1241275796690
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1241275800885
started,bundle,org.eclipse.mylyn.ide.ant,3.1.1.v20090411-0400-e3x,org.eclipse.mylyn.ide.ant,1241275802189
started,bundle,org.eclipse.mylyn.resources.ui,3.1.1.v20090411-0400-e3x,org.eclipse.mylyn.resources.ui,1241275802217
started,bundle,org.eclipse.mylyn.wikitext.tasks.ui,1.0.1.v20090411-0400-e3x,org.eclipse.mylyn.wikitext.tasks.ui,1241275802224
started,bundle,org.eclipse.mylyn.java.ui,3.1.1.v20090411-0400-e3x,org.eclipse.mylyn.java.ui,1241275802243
started,bundle,org.eclipse.mylyn.pde.ui,3.1.1.v20090411-0400-e3x,org.eclipse.mylyn.pde.ui,1241275802272
closed,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1241275802368
stopped,bundle,org.eclipse.mylyn.pde.ui,3.1.1.v20090411-0400-e3x,org.eclipse.mylyn.pde.ui,1241275802807
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.0.v20080730_r341,org.eclipse.pde.api.tools.ui,1241275802807
stopped,bundle,org.eclipse.pde.api.tools,1.0.0.v20081117_r342,org.eclipse.pde.api.tools,1241275802807
stopped,bundle,org.eclipse.mylyn.ide.ant,3.1.1.v20090411-0400-e3x,org.eclipse.mylyn.ide.ant,1241275802807
stopped,bundle,org.eclipse.mylyn.team.ui,3.1.1.v20090411-0400-e3x,org.eclipse.mylyn.team.ui,1241275802807
stopped,bundle,org.eclipse.mylyn.java.ui,3.1.1.v20090411-0400-e3x,org.eclipse.mylyn.java.ui,1241275802807
stopped,bundle,org.eclipse.mylyn.ide.ui,3.1.1.v20090411-0400-e3x,org.eclipse.mylyn.ide.ui,1241275802807
stopped,bundle,org.eclipse.mylyn.resources.ui,3.1.1.v20090411-0400-e3x,org.eclipse.mylyn.resources.ui,1241275802807
stopped,bundle,org.eclipse.mylyn.ditz.tests,1.0.0,org.eclipse.mylyn.ditz.tests,1241275802807
stopped,bundle,org.eclipse.mylyn.ditz.ui,1.0.0,org.eclipse.mylyn.ditz.ui,1241275802807
