what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.mylyn.ditz.core,1.0.0,org.eclipse.mylyn.ditz.core,1241275802808
stopped,bundle,org.eclipse.mylyn.wikitext.tasks.ui,1.0.1.v20090411-0400-e3x,org.eclipse.mylyn.wikitext.tasks.ui,1241275802808
stopped,bundle,org.eclipse.mylyn.context.ui,3.1.1.v20090411-0400-e3x,org.eclipse.mylyn.context.ui,1241275802808
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.1.1.v20090411-0400-e3x,org.eclipse.mylyn.bugzilla.ui,1241275802808
stopped,bundle,org.eclipse.mylyn.tasks.bugs,3.1.1.v20090411-0400-e3x,org.eclipse.mylyn.tasks.bugs,1241275802809
stopped,bundle,org.eclipse.mylyn.java.tasks,3.1.1.v20090411-0400-e3x,org.eclipse.mylyn.java.tasks,1241275802809
stopped,bundle,org.eclipse.mylyn.help.ui,3.1.1.v20090411-0400-e3x,org.eclipse.mylyn.help.ui,1241275802809
stopped,bundle,org.eclipse.mylyn.tasks.ui,3.1.1.v20090411-0400-e3x,org.eclipse.mylyn.tasks.ui,1241275802809
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.105.v200811282340,org.eclipse.wst.xsd.ui,1241275802809
stopped,bundle,org.eclipse.emf.edit.ui,2.4.2.v200902171115,org.eclipse.emf.edit.ui,1241275802809
stopped,bundle,org.eclipse.wst.common.snippets,1.1.200.v200805140415,org.eclipse.wst.common.snippets,1241275802809
stopped,bundle,org.eclipse.gef,3.4.1.v20080806,org.eclipse.gef,1241275802809
stopped,bundle,org.eclipse.team.cvs.ui,3.3.100.r34x_20090121,org.eclipse.team.cvs.ui,1241275802809
stopped,bundle,org.eclipse.pde.runtime,3.4.0.v20080723-1000,org.eclipse.pde.runtime,1241275802809
stopped,bundle,org.eclipse.pde.ui.templates,3.4.0.v20080514-1500,org.eclipse.pde.ui.templates,1241275802809
stopped,bundle,org.eclipse.pde.ui,3.4.0.v20090202,org.eclipse.pde.ui,1241275802810
stopped,bundle,org.spearce.egit.ui,0.4.0.200904261421,org.spearce.egit.ui,1241275802810
stopped,bundle,org.eclipse.jdt.junit,3.4.0.v20080603-2000,org.eclipse.jdt.junit,1241275802810
stopped,bundle,org.eclipse.ant.ui,3.3.1.v20090120_r342,org.eclipse.ant.ui,1241275802810
stopped,bundle,org.eclipse.jdt.debug.ui,3.3.1.v20080730_r341,org.eclipse.jdt.debug.ui,1241275802811
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.100.v20080407-1345,org.eclipse.jdt.apt.ui,1241275802811
stopped,bundle,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui,1241275802839
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.301.v200808072012,org.eclipse.wst.dtd.ui,1241275802839
stopped,bundle,org.eclipse.wst.xml.ui,1.0.430.v200901212230,org.eclipse.wst.xml.ui,1241275802840
stopped,bundle,org.eclipse.wst.common.ui,1.1.302.v200810160107,org.eclipse.wst.common.ui,1241275802840
